id;cat;name;zen;rekom;sebe;tehno;gram;kol
3800;Запечённые роллы;Ролл Запечённый ОРИГАМИ;205;171,76;57,26;нори*1, рис*130, лосось*10, угорь*10, креветки*15, сыр сливочный*25, огурец*10, соус унаги*5, кунжут*5,;210;8
3900;Запечённые роллы;Ролл Лосось под спайсом;180;121,89;40,63;нори*1, рис*130, лосось*25, сыр сливочный*25, огурец*15, спайси соус*15,;210;8
4100;Суши;Суши Лосось;55;50,25;16,75;рис*20, лосось*12,;32;1
4200;Суши;Суши Угорь;80;78,33;26,11;рис*20, угорь*12,;32;1
4300;Суши;Суши Спайси с начинкой на выбор;80;59,43;19,81;рис*20, спайси соус*15, начинка на выбор*12,;47;1
4600;Горячие блюда;Кольца кальмара;180;182,09;60,7;кальмар*100, кляр-сухари*50, лист салата*15, соус фирменный*50,;215;1
4610;Горячие блюда;Креветки в кляре;240;292,1;97,36;креветки*100, кляр-сухари*50, соус на выбор*50, лист салата*5,;205;1
4620;Горячие блюда;Гренки чесночные с сыром;100;105,44;35,15;хлеб чёрный*150, сыр*20, соус чесночный*50, масло подсолнечное*10, лист салата*5,;235;1
4630;Горячие блюда;Пельмешки во фритюре;150;158,18;52,73;пельмени*200, перец каенский*5, лист салата*5, соль*5, соус фирменный*50, лист салата*5,;265;1
4640;Горячие блюда;Пельмешки отварные;150;158,18;52,73;пельмени*200, перец каенский*5, лист салата*5, соль*5, соус фирменный*50, лист салата*5,;265;1
4800;Горячие блюда;Луковые кольца;110;115,09;38,37;луковые кольца*100, кляр-сухари*50, лист салата*5, соус фирменный*50,;205;1
4850;Горячие блюда;Картофель ФРИ;80;106,45;35,48;картофель фри*170, соус фирменный*50, лист салата*5,;225;1
4880;Горячие блюда;Картофель по деревенски;90;123,5;41,16;картофель дольками*170, соус фирменный*50, зелень*10, лист салата*5,;235;1
4890;Горячие блюда;Картофельные шарики;150;201,68;67,22;картофельные шарики*150, перец каенский*10, соль*5, соус фирменный*50, лист салата*5,;220;1
4900;Горячие блюда;Венгерские колбаски;200;195,94;65,31;колбаски венгерские*150, картофель фри*25, картофель дольками*25, лист салата*5, соус фирменный*50,;255;1
5000;Горячие блюда;Стэйк из лосося;275;279,07;93,03;лосось*150, лист салата*5, соус фирменный*50, лимон*30, соль*5, перец каенский*5,;245;1
